nohup: ignoring input
Using Bao: True
python3 baoctl.py --train_mode retrain --dataset stats --repeat 0 --alpha 0.5 --train_query_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_plans --train_label_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_time.txt --save_folder workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2 --predict_query_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2.sql --predict_label_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_time.txt --contrastive
81 1759217619.669224 0.07663154602050781
82 1759217619.7433188 0.0740196704864502
83 1759217619.8169205 0.0735321044921875
84 1759217619.8912213 0.07422542572021484
85 1759217619.9555507 0.0642542839050293
86 1759217620.0314748 0.07585287094116211
87 1759217620.1173239 0.0857703685760498
88 1759217620.1819382 0.06450963020324707
89 1759217620.3316872 0.14961576461791992
90 1759217620.4122229 0.08041167259216309
91 1759217620.4880097 0.07567977905273438
92 1759217620.5606 0.07247018814086914
93 1759217620.6616395 0.10092306137084961
94 1759217620.7469583 0.08519434928894043
95 1759217620.819915 0.07284331321716309
96 1759217620.8964252 0.07643842697143555
97 1759217620.9742196 0.07771134376525879
98 1759217621.0480304 0.07373452186584473
99 1759217621.1180842 0.06996440887451172
100 1759217621.1922734 0.07405829429626465
101 1759217621.2708144 0.07845664024353027
102 1759217621.3402085 0.0693216323852539
103 1759217621.4283283 0.08803915977478027
104 1759217621.5016794 0.07324695587158203
105 1759217621.5726094 0.07083678245544434
106 1759217621.670339 0.09762120246887207
107 1759217621.7497213 0.07927179336547852
108 1759217622.5405457 0.790703296661377
109 1759217622.6146634 0.07399272918701172
110 1759217622.688833 0.07404398918151855
111 1759217622.7621863 0.07326865196228027
112 1759217622.8330998 0.0707848072052002
113 1759217622.9562666 0.12301397323608398
114 1759217623.0225468 0.06619048118591309
115 1759217623.098435 0.07581067085266113
116 1759217623.169882 0.07127237319946289
117 1759217623.2485874 0.07862114906311035
118 1759217623.3128257 0.06416177749633789
119 1759217623.375628 0.06270241737365723
120 1759217623.446102 0.07037711143493652
121 1759217623.522571 0.07636857032775879
122 1759217623.7472174 0.22454190254211426
123 1759217623.8300145 0.0827033519744873
124 1759217623.905614 0.0755164623260498
125 1759217623.977536 0.07180237770080566
126 1759217624.0555034 0.07785892486572266
127 1759217624.1198018 0.06418752670288086
128 1759217624.2009442 0.0810248851776123
129 1759217624.2742145 0.073150634765625
130 1759217624.393051 0.1187281608581543
131 1759217624.472622 0.07942605018615723
132 1759217624.5483904 0.07567596435546875
133 1759217624.6415553 0.09308195114135742
134 1759217624.7112596 0.06956362724304199
135 1759217624.781866 0.07052993774414062
136 1759217624.8573146 0.07533645629882812
137 1759217624.949095 0.09170913696289062
138 1759217625.0279365 0.07864189147949219
139 1759217625.1050386 0.07698774337768555
140 1759217625.8433774 0.7381529808044434
141 1759217625.909141 0.06567049026489258
142 1759217625.9758205 0.06654214859008789
143 1759217626.0434842 0.06755876541137695
144 1759217626.1173213 0.07375240325927734
145 1759217626.188254 0.07085609436035156
146 1759217626.329054 0.14070796966552734
147 1759217626.3983426 0.06920742988586426
148 1759217626.4926322 0.09412217140197754
149 1759217626.5627666 0.0700078010559082
150 1759217626.637205 0.07433676719665527
151 1759217626.7410138 0.10371065139770508
152 1759217626.816523 0.0753774642944336
